City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Max Temp,Temperature,Wind Speed
Haines Junction,72,CA,1561524925,88,60.75,-137.51,53.69,53.69,3.74
Aktau,0,KZ,1561524926,38,43.65,51.16,89.6,89.6,15.66
Edmundston,90,CA,1561524926,87,47.36,-68.33,55.99,54.77,11.41
Avera,1,US,1561524926,88,33.19,-82.53,77.0,73.02,3.44
Codrington,40,AU,1561524926,77,-28.95,153.24,64.4,62.49,14.99
Yagodnoye,51,RU,1561524926,44,62.52,149.63,61.79,61.79,15.77
Makakilo City,90,US,1561524658,94,21.35,-158.09,78.8,76.17,6.93
Klyavlino,15,RU,1561524926,68,54.26,52.03,61.07,61.07,12.93
Ulaangom,83,MN,1561524927,25,49.98,92.07,67.37,67.37,16.49
Praia da Vitoria,40,PT,1561524927,88,38.73,-27.07,64.99,64.71,15.75
Eureka,0,US,1561524656,87,40.8,-124.16,55.99,53.62,5.17
Salinas,1,US,1561524676,82,36.67,-121.66,63.0,59.31,0.96
Mutis,88,CO,1561524927,81,6.23,-77.4,79.97,79.97,4.59
Saskylakh,66,RU,1561524927,21,71.97,114.09,86.99,86.99,8.3
Sisimiut,100,GL,1561524907,88,66.94,-53.67,41.27,41.27,12.8
Brae,25,GB,1561524928,87,60.4,-1.35,50.0,50.0,9.17
Karpathos,20,GR,1561524928,88,35.51,27.21,75.2,75.2,13.87
Dwarka,40,IN,1561524928,50,28.58,77.04,96.8,94.95,4.7
Turinsk,100,RU,1561524928,58,58.04,63.7,61.25,61.25,8.57
Batagay,71,RU,1561524928,37,67.65,134.64,77.45,77.45,3.2
Pesqueira,39,BR,1561524928,98,-8.36,-36.7,58.19,58.19,3.53
Ilulissat,81,GL,1561524928,87,69.22,-51.1,42.8,42.8,5.82
Bilma,5,NE,1561524929,23,18.69,12.92,87.71,87.71,6.85
Maceio,40,BR,1561524888,94,-9.67,-35.74,68.0,68.0,4.7
Maragogi,65,BR,1561524929,94,-9.01,-35.22,67.55,67.55,2.44
Baker City,40,US,1561524929,76,44.77,-117.83,60.8,58.5,5.82
Pedernales,67,EC,1561524929,82,0.07,-80.05,76.19,76.19,11.43
Norman Wells,90,CA,1561524929,81,65.28,-126.83,48.2,48.2,11.41
Wanning,0,AT,1561524930,88,48.64,13.53,78.01,68.36,2.24
Tarskoye,3,RU,1561524930,54,42.97,44.77,78.8,76.12,6.71
Sedlcany,0,CZ,1561524930,83,49.66,14.43,73.99,71.2,2.24
Mehamn,75,NO,1561524930,71,71.03,27.85,50.0,48.2,24.16
Portage,1,US,1561524772,65,41.58,-87.18,77.0,73.44,3.36
Esso,99,RU,1561524930,53,55.93,158.7,54.05,54.05,9.13
Chulumani,0,BO,1561524930,49,-16.41,-67.53,30.47,30.47,3.2
Madingou,24,CG,1561524930,89,-4.17,13.56,66.47,66.47,3.31
Shaunavon,34,CA,1561524931,61,49.65,-108.41,55.67,55.67,3.65
Chapais,90,CA,1561524931,93,49.78,-74.86,59.0,59.0,9.17
Almaznyy,0,RU,1561524931,35,48.03,40.04,73.4,73.4,13.42
Porangatu,0,BR,1561524931,57,-13.44,-49.14,68.63,68.63,1.48
Meulaboh,51,ID,1561524931,62,4.14,96.13,85.01,85.01,5.3
Semnan,40,IR,1561524931,15,35.58,53.39,93.2,93.2,6.8
Pevek,0,RU,1561524931,86,69.7,170.27,34.97,34.97,24.63
Ponta Pora,100,BR,1561524690,98,-22.54,-55.73,62.33,62.33,5.84
Santa Maria,100,BR,1561524932,78,-29.69,-53.81,43.25,43.25,3.0
Skibbereen,75,IE,1561524933,93,51.55,-9.27,57.2,57.2,10.29
Lively,1,US,1561524933,83,33.6,-99.18,80.01,79.21,11.99
Lima,40,PE,1561524842,87,-12.06,-77.04,60.8,60.8,6.93
Nhulunbuy,40,AU,1561524933,57,-12.18,136.78,80.6,80.6,12.75
Husavik,14,CA,1561524933,65,50.56,-96.99,62.01,59.86,8.23
Tocopilla,12,CL,1561524933,85,-22.09,-70.2,58.37,58.37,12.62
Damavand,0,IR,1561524934,22,35.72,52.07,87.8,87.3,11.41
Machinga,18,MW,1561524934,72,-15.18,35.3,64.85,64.85,3.87
Cochrane,97,CL,1561524934,96,-47.25,-72.57,29.75,29.75,3.36
Joao Pinheiro,16,BR,1561524926,73,-17.74,-46.17,64.13,64.13,2.55
Kourou,83,GF,1561524934,94,5.16,-52.64,77.0,77.0,2.24
Jaguarari,96,BR,1561524934,89,-10.26,-40.2,64.31,64.31,11.39
Mezen,0,RU,1561524934,54,65.85,44.24,58.91,58.91,5.28
Road Town,1,VG,1561524679,78,18.42,-64.62,82.4,81.1,3.36
Port Moresby,90,PG,1561524839,100,-9.47,147.16,77.0,77.0,17.22
Adrar,0,DZ,1561524935,8,27.87,-0.29,87.8,87.8,5.82
Mwene-Ditu,76,CD,1561524935,40,-7.01,23.45,68.81,68.81,4.65
Gornopravdinsk,100,RU,1561524935,74,60.06,69.92,50.63,50.63,11.74
Xapuri,7,BR,1561524935,87,-10.65,-68.5,71.33,71.33,2.28
Usinsk,95,RU,1561524935,60,66.0,57.56,52.79,52.79,13.18
Pacific Grove,1,US,1561524935,82,36.62,-121.92,63.0,59.34,8.68
Ukiah,57,US,1561524650,70,39.15,-123.21,61.0,55.33,1.28
Tete,20,MZ,1561524936,93,-16.16,33.59,66.2,66.2,8.9
Drayton Valley,77,CA,1561524936,90,53.22,-114.98,49.73,49.73,3.87
Las Vegas,1,US,1561524684,7,36.17,-115.15,91.4,88.14,9.15
Alta,75,NO,1561524936,66,69.97,23.27,53.6,52.48,14.99
Srednekolymsk,0,RU,1561524936,22,67.46,153.71,81.23,81.23,16.91
Conselheiro Lafaiete,35,BR,1561524936,89,-20.66,-43.79,57.83,57.83,2.44
Sakaiminato,75,JP,1561524936,54,35.55,133.23,84.2,83.03,11.41
Kodinsk,0,RU,1561524937,26,58.6,99.18,85.73,85.73,9.33
Mecca,12,SA,1561524937,39,21.43,39.83,94.55,94.55,3.98
Gatbo,100,PH,1561524937,78,13.58,123.38,85.37,85.37,13.06
Ziarat,0,PK,1561524937,15,30.38,67.73,78.89,78.89,8.95
Tapolca,0,HU,1561524937,94,46.88,17.44,69.8,69.8,2.39
Kuusamo,0,FI,1561524817,62,65.96,29.19,55.4,55.4,4.7
Sao Filipe,0,CV,1561524937,84,14.9,-24.5,74.21,74.21,15.7
Miri,44,NG,1561524938,87,10.31,9.75,72.77,72.77,5.95
Shizuishan,100,CN,1561524938,81,39.02,106.36,60.01,60.01,5.99
Kurumkan,100,RU,1561524938,96,54.33,110.32,49.01,49.01,1.32
Mahebourg,75,MU,1561524842,83,-20.41,57.7,75.2,74.53,16.11
Rusape,0,ZW,1561524938,73,-18.53,32.12,53.51,53.51,2.75
Borogontsy,34,RU,1561524938,29,62.67,131.17,78.17,78.17,2.57
Raichur,47,IN,1561524939,54,16.2,77.36,88.61,88.61,14.2
Tarakan,40,ID,1561524905,74,3.3,117.63,87.8,87.8,4.7
Gravdal,75,NO,1561524939,93,59.79,5.78,55.99,55.53,10.29
Lorengau,60,PG,1561524939,73,-2.02,147.27,83.93,83.93,8.39
Esmeraldas,0,BR,1561524939,77,-19.76,-44.31,66.2,66.2,3.36
Oktyabrskoye,0,RU,1561524939,56,56.73,85.44,75.0,73.87,6.71
Atar,0,MR,1561524939,19,20.52,-13.05,87.89,87.89,15.57
High Prairie,100,CA,1561524939,85,55.43,-116.48,53.51,53.51,1.79
Henties Bay,85,NA,1561524940,97,-22.12,14.28,48.99,48.99,1.99
Samarai,100,PG,1561524940,94,-10.62,150.67,76.01,76.01,5.79
Madimba,75,CM,1561524940,100,4.42,9.93,73.4,73.4,2.24
Buritizeiro,43,BR,1561524940,67,-17.37,-44.96,66.11,66.11,1.23
Kungurtug,100,RU,1561524940,79,50.6,97.53,44.33,44.33,8.05
Kihei,40,US,1561524940,51,20.76,-156.45,86.0,78.93,5.82
Balma,0,FR,1561524941,53,43.61,1.51,78.8,72.16,24.16
Mango,0,IT,1561524941,57,44.69,8.15,84.99,76.44,6.93
Muros,0,ES,1561524941,100,42.77,-9.06,64.99,60.42,7.2
Bonthe,71,SL,1561524941,90,7.53,-12.5,77.81,77.81,7.61
Byron Bay,75,AU,1561524941,82,-28.65,153.62,66.2,63.59,12.75
Hofn,54,IS,1561524942,75,64.25,-15.21,42.17,42.17,8.59
Harlingen,40,US,1561524942,83,26.19,-97.7,82.4,80.55,8.05
Venado,0,MX,1561524942,83,22.93,-101.09,62.51,62.51,14.92
Colchester,75,GB,1561524942,93,51.89,0.9,61.0,58.23,6.93
Mantua,0,IT,1561524942,78,45.16,10.79,81.0,75.07,4.7
Cocobeach,75,GA,1561524942,78,1.01,9.58,77.0,77.0,10.29
Bail Hongal,75,IN,1561524943,83,15.82,74.87,77.0,77.0,6.93
Kudahuvadhoo,96,MV,1561524943,67,2.67,72.89,84.47,84.47,5.55
Luena,0,AO,1561524943,48,-11.78,19.91,54.05,54.05,2.08
Flinders,75,AU,1561524943,48,-34.58,150.85,62.01,60.46,9.17
Paita,63,PE,1561524943,91,-5.09,-81.11,64.49,64.49,14.67
Nyurba,15,RU,1561524943,40,63.29,118.35,78.17,78.17,5.97
Uyuni,0,BO,1561524944,40,-20.46,-66.82,32.45,32.45,16.37
Cabedelo,40,BR,1561524944,94,-6.97,-34.84,73.4,73.4,3.36
Kamaishi,40,JP,1561524944,54,39.28,141.86,80.6,80.6,5.82
Abu Samrah,0,SY,1561524944,27,35.3,37.18,90.23,90.23,7.99
Huarmey,100,PE,1561524944,86,-10.07,-78.15,62.69,62.69,16.2
Malyn,0,UA,1561524944,60,50.77,29.25,68.0,68.0,3.85
Tergnier,90,FR,1561524944,100,49.66,3.29,63.0,61.93,8.05
Nahrin,0,AF,1561524945,16,36.06,69.13,83.57,83.57,7.25
Nacala,16,MZ,1561524945,66,-14.56,40.69,73.31,73.31,12.03
Salym,100,RU,1561524693,93,60.06,71.48,45.41,45.41,15.01
Parnarama,79,BR,1561524945,74,-5.68,-43.09,72.23,72.23,2.28
Rio Gallegos,90,AR,1561524945,98,-51.62,-69.22,33.8,33.8,6.93
Kuytun,100,RU,1561524945,97,54.34,101.51,58.55,58.55,0.67
Sembakung,40,ID,1561524945,74,3.82,117.25,87.8,87.8,4.7
College,40,US,1561524946,33,64.86,-147.8,75.0,71.17,6.93
Geraldton,5,CA,1561524946,82,49.72,-86.95,60.8,60.8,5.82
Mangrol,40,IN,1561524946,62,25.33,76.51,89.6,89.6,2.24
Bermeo,75,ES,1561524946,93,43.42,-2.72,69.01,65.75,2.24
Melfort,20,CA,1561524946,87,52.87,-104.61,57.2,57.2,4.7
Bordighera,0,IT,1561524946,73,43.79,7.66,82.99,78.19,5.82
Beringovskiy,100,RU,1561524947,96,63.05,179.32,44.15,44.15,13.49
Agirish,43,RU,1561524947,40,61.92,63.02,59.45,59.45,3.38
Isangel,75,VU,1561524947,74,-19.55,169.27,80.6,80.6,13.87
Mastic Beach,90,US,1561524779,94,40.77,-72.85,71.6,69.17,6.17
Grindavik,90,IS,1561524947,93,63.84,-22.43,54.0,52.57,19.46
Boras,0,SE,1561524947,72,57.72,12.94,66.99,63.73,5.82
Fallon,1,US,1561524947,59,46.84,-105.12,62.6,62.6,5.82
Bethel,90,US,1561524948,93,60.79,-161.76,64.4,60.84,9.17
Scituate,90,US,1561524948,100,41.79,-71.61,68.0,66.45,3.36
Faya,20,SA,1561524902,37,18.39,42.45,73.4,70.79,3.85
Santa Marta,75,CO,1561524949,88,11.24,-74.21,80.6,80.6,4.7
Angoche,5,MZ,1561524949,64,-16.23,39.91,74.03,74.03,8.41
Wielun,22,PL,1561524949,68,51.22,18.57,79.0,76.46,1.01
Santiago del Estero,0,AR,1561524668,31,-27.8,-64.26,44.15,44.15,6.69
Pimentel,17,BR,1561524949,97,-3.7,-45.5,69.89,69.89,0.4
Hualmay,71,PE,1561524949,87,-11.1,-77.61,61.97,61.97,16.04
Touros,75,BR,1561524949,94,-5.2,-35.46,73.4,73.4,3.36
Yenagoa,100,NG,1561524949,93,4.92,6.26,72.77,72.77,3.22
Ha Tinh,66,VN,1561524950,38,18.33,105.9,100.49,100.49,10.49
Yatou,75,CM,1561524950,100,3.63,9.81,73.4,73.4,2.24
Hambantota,75,LK,1561524950,84,6.12,81.12,86.0,86.0,14.99
Ponta do Sol,71,BR,1561524950,72,-20.63,-46.0,60.89,60.89,2.68
Monkey Hill,55,KN,1561524950,78,17.32,-62.72,81.0,80.44,11.41
Obo,100,CF,1561524950,95,5.39,26.49,70.43,70.43,2.55
Nishihara,75,JP,1561524951,61,35.74,139.53,87.01,82.36,19.46
Hermsdorf,47,DE,1561524951,77,50.9,11.86,75.0,70.77,6.08
Jijiga,61,ET,1561524951,78,9.35,42.8,65.21,65.21,7.94
Port Blair,90,IN,1561524825,94,11.67,92.75,77.0,77.0,9.17
Inhambane,40,MZ,1561524951,88,-23.87,35.38,64.4,64.4,4.7
Chebenki,20,RU,1561524951,43,51.93,55.71,69.8,69.8,11.18
Kisangani,96,CD,1561524952,97,0.52,25.21,70.61,70.61,2.59
Tabou,100,CI,1561524952,94,4.42,-7.36,73.67,73.67,4.68
Marabba,0,SD,1561524952,53,12.35,32.18,87.35,87.35,16.6
Nemuro,20,JP,1561524952,48,43.32,145.57,84.2,84.2,9.17
Harper,1,US,1561524952,73,30.3,-99.24,72.0,70.7,15.08
Inverell,0,AU,1561524953,42,-29.78,151.11,68.0,66.67,7.0
Nongan,0,CN,1561524953,30,44.43,125.17,86.0,86.0,17.9
Hatillo,48,PR,1561524953,89,18.49,-66.83,81.0,77.85,2.82
Boende,95,CD,1561524953,83,-0.28,20.88,75.11,75.11,2.86
Seoul,75,KR,1561524669,61,37.57,126.98,82.4,80.74,1.12
Chicama,90,PE,1561524953,82,-7.84,-79.15,64.4,64.4,11.41
Dunedin,2,NZ,1561524953,58,-45.87,170.5,50.0,50.0,5.99
Sinop,0,TR,1561524954,77,42.03,35.15,70.0,69.93,5.82
Mlalo,29,TZ,1561524954,81,-4.58,38.35,67.73,67.73,6.58
Quatre Cocos,75,MU,1561524954,83,-20.21,57.76,75.2,74.61,16.11
Zlobin,0,HR,1561524954,73,45.29,14.65,77.0,72.81,2.24
Batemans Bay,14,AU,1561524954,61,-35.71,150.18,63.0,56.97,4.0
Necochea,33,AR,1561524954,85,-38.55,-58.74,37.0,37.0,4.0
Coihaique,90,CL,1561524955,93,-45.58,-72.07,39.2,36.93,10.29
Newport,90,GB,1561524955,100,51.59,-3.0,61.0,58.53,12.75
Jalu,0,LY,1561524955,45,29.03,21.55,81.77,81.77,11.61
Victoria,75,BN,1561524955,70,5.28,115.24,89.6,88.36,2.24
Tomatlan,75,MX,1561524956,83,19.93,-105.25,80.51,80.51,2.37
Wagar,93,US,1561524956,80,31.44,-87.99,75.99,73.98,1.72
Raudeberg,75,NO,1561524956,87,61.99,5.14,55.4,52.7,12.75
Katangli,100,RU,1561524956,80,51.71,143.23,50.09,50.09,17.63
El Cobre,40,CU,1561524956,83,20.05,-75.95,77.0,77.0,4.7
Petropavlovsk-Kamchatskiy,90,RU,1561524956,100,53.05,158.65,46.4,46.4,13.42
San Felipe,64,CL,1561524809,99,-32.75,-70.73,39.99,39.99,0.4
Izumo,75,JP,1561524957,48,35.37,132.75,84.2,82.22,3.36
Mahibadhoo,100,MV,1561524957,70,3.78,72.97,83.93,83.93,6.08
Churapcha,48,RU,1561524957,31,62.0,132.43,74.57,74.57,3.27
Okha,99,RU,1561524957,91,53.59,142.95,42.17,42.17,20.94
Naryan-Mar,65,RU,1561524957,63,67.67,53.09,47.93,47.93,15.95
Curaca,64,BR,1561524957,85,-8.99,-39.91,68.09,68.09,6.96
Mazagao,40,BR,1561524957,88,-0.12,-51.29,78.8,78.8,3.36
Khatassy,0,RU,1561524958,40,61.91,129.64,69.8,69.8,6.71
Saint-Leu,0,RE,1561524958,88,-21.15,55.28,71.6,67.21,4.7
Ostersund,20,SE,1561524958,93,63.18,14.64,53.01,52.56,8.05
Redmond,83,US,1561524869,59,47.67,-122.12,64.99,61.77,2.37
Yamada,75,JP,1561524958,40,36.58,137.08,90.0,86.58,11.41
Kuhdasht,0,IR,1561524958,29,33.53,47.61,77.0,77.0,6.46
Jesup,1,US,1561524958,94,31.61,-81.89,80.6,76.39,2.95
Minot,1,US,1561524659,63,48.23,-101.3,63.0,59.07,5.82
Champerico,75,MX,1561524959,78,16.38,-93.6,77.0,77.0,2.26
Sulya,80,IN,1561524959,71,12.56,75.39,84.65,84.65,6.2
Port Hardy,75,CA,1561524959,48,50.7,-127.42,62.6,62.6,3.36
Coahuayana,83,MX,1561524959,87,18.62,-100.35,74.39,74.39,1.1
Basco,1,US,1561524959,93,40.33,-91.2,70.0,66.63,5.82
Sumkino,100,RU,1561524959,96,58.11,68.32,46.67,46.67,16.6
Epe,0,DE,1561524960,78,52.18,7.04,77.0,71.82,4.7
Gavle,100,SE,1561524960,81,60.67,17.14,59.0,59.0,3.58
Gagret,0,IN,1561524960,36,31.66,76.06,93.11,93.11,3.4
Pinega,26,RU,1561524960,52,64.7,43.39,59.81,59.81,7.49
Cherskiy,71,RU,1561524960,16,68.75,161.3,72.23,72.23,18.41
Dawlatabad,0,AF,1561524960,6,36.41,64.91,94.37,94.37,2.35
Taunggyi,99,MM,1561524961,60,20.78,97.03,83.21,83.21,8.77
Antsohihy,0,MG,1561524961,62,-14.88,47.99,77.99,77.99,6.38
Kon Tum,97,VN,1561524961,88,14.36,108.0,80.15,80.15,2.64
Sola,0,FI,1561524961,82,62.78,29.36,60.01,58.73,1.12
Leninskoye,0,RU,1561524961,53,54.82,82.85,73.4,73.4,8.95
Gazojak,57,TM,1561524961,9,41.19,61.4,99.95,99.95,10.71
Gaya,75,IN,1561524961,42,24.8,85.01,100.4,100.4,11.41
Lompoc,90,US,1561524962,77,34.64,-120.46,62.6,59.7,4.7
Kilindoni,13,TZ,1561524962,82,-7.91,39.67,76.37,76.37,19.15
Monkey Bay,0,MW,1561524962,73,-14.08,34.91,66.29,66.29,11.36
Lumphat,100,KH,1561524962,71,13.5,106.97,86.99,86.99,5.28
Corinto,57,BR,1561524962,61,-18.36,-44.46,67.37,67.37,3.44
Caravelas,4,BR,1561524963,90,-17.73,-39.27,69.35,69.35,6.08
Kamenka,30,RU,1561524963,41,53.19,44.05,73.99,73.99,9.62
Vuktyl,14,RU,1561524963,46,63.86,57.31,55.67,55.67,4.97
Clyde River,90,CA,1561524963,100,70.47,-68.59,30.2,30.2,11.41
Busdi,95,PH,1561524963,68,8.28,125.25,78.89,78.89,4.76
Grand Gaube,75,MU,1561524903,83,-20.01,57.66,75.2,74.68,16.11
Ko Samui,20,TH,1561524963,62,9.54,99.94,89.6,89.6,11.41
Canico,20,PT,1561524964,63,32.63,-16.85,68.0,65.68,7.05
Medyn,0,RU,1561524964,87,54.97,35.86,59.0,59.0,2.24
Tandil,7,AR,1561524964,63,-37.33,-59.14,36.0,36.0,1.01
Pudozh,86,RU,1561524964,73,61.81,36.54,57.65,57.65,2.8
Skjervoy,75,NO,1561524964,87,70.03,20.97,50.0,50.0,16.11
Eyl,100,SO,1561524964,50,7.98,49.82,85.37,85.37,29.97
Lingao,39,CN,1561524964,70,19.91,109.69,90.23,90.23,17.45
Kipini,1,KE,1561524965,74,-2.53,40.53,75.2,75.2,13.38
Berlin,0,DE,1561524837,64,52.52,13.39,80.01,74.37,1.12
Sotuta,35,MX,1561524965,76,20.6,-89.01,79.79,79.79,7.54
Saint-Junien,0,FR,1561524965,60,45.89,0.9,71.6,67.24,3.36
San Martin,1,US,1561524965,72,37.08,-121.61,66.0,60.8,4.7
Sulangan,52,PH,1561524966,70,11.14,123.72,84.83,84.83,0.76
Vila Franca do Campo,75,PT,1561524814,82,37.72,-25.43,64.4,64.4,8.05
Tayu,75,JP,1561524966,54,35.06,136.67,89.01,84.16,14.99
Carrboro,75,US,1561524966,94,35.91,-79.08,75.99,72.72,6.11
Anadyr,90,RU,1561524966,93,64.73,177.51,48.2,48.09,15.66
Passagem Franca,85,BR,1561524966,78,-6.18,-43.78,70.79,70.79,2.91
Sinnamary,100,GF,1561524966,82,5.38,-52.96,79.61,79.61,12.77
Samfya,0,ZM,1561524967,64,-11.37,29.56,58.55,58.55,6.29
Duncan,1,US,1561524967,83,34.5,-97.96,80.6,78.37,5.82
Zhangzhou,40,CN,1561524967,74,24.51,117.65,86.0,86.0,2.24
Lodja,54,CD,1561524967,67,-3.52,23.6,74.57,74.57,1.48
Catabola,0,AO,1561524967,46,-12.14,17.29,53.33,53.33,2.42
Shambu,0,ET,1561524967,81,9.57,37.1,64.67,64.67,2.44
Mata,5,CU,1561524968,83,22.63,-79.93,77.0,77.0,3.36
Diamantino,0,BR,1561524968,64,-14.4,-56.44,67.55,67.55,6.38
Banikoara,90,BJ,1561524968,79,11.3,2.44,76.73,76.73,6.22
Alenquer,40,BR,1561524968,94,-1.95,-54.74,75.2,75.2,2.24
Middlebury,1,US,1561524968,93,44.01,-73.17,66.2,62.22,2.8
Lianzhou,64,CN,1561524968,83,24.79,112.38,83.75,83.75,1.41
Laguna,0,MX,1561524969,55,27.52,-110.01,81.05,81.05,3.62
